ID_Professor;Nome_Completo;Data_Nascimento;Idade;Sexo;Telefone;EndereÁo;Bairro;Cidade;UF;Email;Perfil;Sal·rio;Data_Matricula;Status
1;Yago Silva;1989-12-03;35;M;(11) 95853-2356;Avenida Mateo Bei, 4696;S„o Mateus;S„o Paulo;SP;yago9151@hotmail.com;Senior;7189.47;2022-08-11;Ativo
2;Asafe Viana;1993-07-31;31;M;(11) 98670-7308;Rua Augusto Carlos Bauman, 1331;Itaquera;S„o Paulo;SP;asafe7990@gmail.com;Junior;2318.71;2024-07-18;Ativo
3;Augusto Dias;1979-04-09;45;M;(11) 93130-4584;Avenida Itaquera, 5208;Itaquera;S„o Paulo;SP;augusto6318@hotmail.com;Senior;6039.0;2024-02-03;Ativo
4;Isabela Novais;2002-12-05;22;F;(11) 96032-2672;Rua Otelo Augusto, 6656;Vila Formosa;S„o Paulo;SP;isabela7553@gmail.com;Junior;2416.76;2021-02-08;Ativo
5;Raul Marques;1997-06-02;27;M;(11) 99698-8416;Rua Bresser, 371;Br·s;S„o Paulo;SP;raul4352@hotmail.com;Junior;2400.14;2024-03-02;Ativo
6;Noah Sampaio;2005-07-30;19;M;(11) 99321-6467;Rua Tuiuti, 5906;TatuapÈ;S„o Paulo;SP;noah7231@outlook.com;Junior;2225.93;2023-11-03;Ativo
7;Liz Fonseca;1980-08-02;44;F;(11) 95520-9676;Rua Bresser, 6367;Br·s;S„o Paulo;SP;liz8088@bol.com.br;Junior;2441.01;2023-09-27;Ativo
8;Stella Fonseca;1968-11-23;56;F;(11) 95361-4911;Rua Herval, 1919;BelÈm;S„o Paulo;SP;stella8719@outlook.com;Junior;2079.71;2021-06-18;Inativo
9;Davi Luiz Azevedo;1976-05-10;48;M;(11) 95395-9112;Avenida Itaquera, 6521;Itaquera;S„o Paulo;SP;davi2803@gmail.com;Junior;2329.83;2023-05-29;Ativo
10;Diego Ferreira;1979-08-05;45;M;(11) 98811-6002;Avenida Regente FeijÛ, 150;Jardim An·lia Franco;S„o Paulo;SP;diego3910@terra.com.br;Junior;2754.86;2020-01-22;Ativo
